wav_id,wav_path,speaker,book,speaker_int
118-124588-0017,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/118/124588/118-124588-0017.wav,118,124588,12
1723-141149-0094,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1723/141149/1723-141149-0094.wav,1723,141149,77
1088-134315-0021,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1088/134315/1088-134315-0021.wav,1088,134315,60
2007-149877-0029,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2007/149877/2007-149877-0029.wav,2007,149877,88
4481-17498-0041,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4481/17498/4481-17498-0041.wav,4481,17498,149
332-128985-0070,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/332/128985/332-128985-0070.wav,332,128985,34
3526-176653-0044,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3526/176653/3526-176653-0044.wav,3526,176653,122
6848-252323-0015,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6848/252323/6848-252323-0015.wav,6848,252323,200
2952-407-0008,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2952/407/2952-407-0008.wav,2952,407,109
831-130739-0018,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/831/130739/831-130739-0018.wav,831,130739,51
83-9960-0004,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/83/9960/83-9960-0004.wav,83,9960,8
4853-29413-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4853/29413/4853-29413-0002.wav,4853,29413,155
8629-261140-0004,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8629/261140/8629-261140-0004.wav,8629,261140,244
4267-72637-0031,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4267/72637/4267-72637-0031.wav,4267,72637,142
5390-30102-0005,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5390/30102/5390-30102-0005.wav,5390,30102,165
1841-159771-0037,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1841/159771/1841-159771-0037.wav,1841,159771,80
5750-35690-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5750/35690/5750-35690-0009.wav,5750,35690,175
3607-135982-0003,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3607/135982/3607-135982-0003.wav,3607,135982,123
5678-43303-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5678/43303/5678-43303-0025.wav,5678,43303,172
3526-175658-0014,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3526/175658/3526-175658-0014.wav,3526,175658,122
1898-145715-0024,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1898/145715/1898-145715-0024.wav,1898,145715,82
5778-12761-0018,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5778/12761/5778-12761-0018.wav,5778,12761,176
4214-7146-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4214/7146/4214-7146-0002.wav,4214,7146,141
200-124140-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/200/124140/200-124140-0009.wav,200,124140,18
4830-25898-0024,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4830/25898/4830-25898-0024.wav,4830,25898,154
5022-29405-0030,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5022/29405/5022-29405-0030.wav,5022,29405,158
8123-275209-0010,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8123/275209/8123-275209-0010.wav,8123,275209,233
1447-130552-0014,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1447/130552/1447-130552-0014.wav,1447,130552,70
2436-2476-0006,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2436/2476/2436-2476-0006.wav,2436,2476,98
446-123501-0053,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/446/123501/446-123501-0053.wav,446,123501,42
6880-216547-0006,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6880/216547/6880-216547-0006.wav,6880,216547,201
4297-13009-0037,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4297/13009/4297-13009-0037.wav,4297,13009,143
6563-63821-0021,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6563/63821/6563-63821-0021.wav,6563,63821,197
1743-142912-0001,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1743/142912/1743-142912-0001.wav,1743,142912,79
19-227-0010,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/19/227/19-227-0010.wav,19,227,0
2989-138028-0073,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2989/138028/2989-138028-0073.wav,2989,138028,110
7367-86737-0033,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7367/86737/7367-86737-0033.wav,7367,86737,215
2514-149482-0033,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2514/149482/2514-149482-0033.wav,2514,149482,99
4788-91208-0015,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4788/91208/4788-91208-0015.wav,4788,91208,152
730-359-0039,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/730/359/730-359-0039.wav,730,359,50
3699-175950-0024,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3699/175950/3699-175950-0024.wav,3699,175950,125
1963-142393-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1963/142393/1963-142393-0009.wav,1963,142393,84
4014-186183-0003,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4014/186183/4014-186183-0003.wav,4014,186183,134
5778-54535-0004,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5778/54535/5778-54535-0004.wav,5778,54535,176
3235-28452-0003,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3235/28452/3235-28452-0003.wav,3235,28452,114
211-122425-0081,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/211/122425/211-122425-0081.wav,211,122425,20
6880-216547-0081,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6880/216547/6880-216547-0081.wav,6880,216547,201
481-123720-0018,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/481/123720/481-123720-0018.wav,481,123720,45
8238-274553-0061,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8238/274553/8238-274553-0061.wav,8238,274553,235
7278-91083-0039,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7278/91083/7278-91083-0039.wav,7278,91083,212
2007-149877-0030,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2007/149877/2007-149877-0030.wav,2007,149877,88
2952-410-0021,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2952/410/2952-410-0021.wav,2952,410,109
3723-171115-0051,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0051.wav,3723,171115,126
1963-142393-0018,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1963/142393/1963-142393-0018.wav,1963,142393,84
8226-274369-0048,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8226/274369/8226-274369-0048.wav,8226,274369,234
6078-54013-0070,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6078/54013/6078-54013-0070.wav,6078,54013,183
6437-66172-0017,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6437/66172/6437-66172-0017.wav,6437,66172,192
887-123290-0030,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/887/123290/887-123290-0030.wav,887,123290,53
4195-186238-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4195/186238/4195-186238-0002.wav,4195,186238,140
4137-11701-0033,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4137/11701/4137-11701-0033.wav,4137,11701,138
2817-142371-0035,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2817/142371/2817-142371-0035.wav,2817,142371,103
3112-9555-0003,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3112/9555/3112-9555-0003.wav,3112,9555,111
322-124146-0030,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/322/124146/322-124146-0030.wav,322,124146,32
4014-186175-0035,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4014/186175/4014-186175-0035.wav,4014,186175,134
8238-283452-0016,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8238/283452/8238-283452-0016.wav,8238,283452,235
3242-8112-0039,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3242/8112/3242-8112-0039.wav,3242,8112,116
2989-138028-0027,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2989/138028/2989-138028-0027.wav,2989,138028,110
4853-27671-0032,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4853/27671/4853-27671-0032.wav,4853,27671,155
2518-154825-0055,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2518/154825/2518-154825-0055.wav,2518,154825,100
8098-278278-0024,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8098/278278/8098-278278-0024.wav,8098,278278,231
4898-28461-0066,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4898/28461/4898-28461-0066.wav,4898,28461,157
5514-19192-0023,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5514/19192/5514-19192-0023.wav,5514,19192,169
6415-100596-0000,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6415/100596/6415-100596-0000.wav,6415,100596,191
5393-19218-0047,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5393/19218/5393-19218-0047.wav,5393,19218,166
8629-261139-0043,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8629/261139/8629-261139-0043.wav,8629,261139,244
730-360-0027,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/730/360/730-360-0027.wav,730,360,50
289-121665-0023,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/289/121665/289-121665-0023.wav,289,121665,27
6925-80680-0034,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6925/80680/6925-80680-0034.wav,6925,80680,202
7505-83618-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7505/83618/7505-83618-0009.wav,7505,83618,218
5390-30096-0026,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5390/30096/5390-30096-0026.wav,5390,30096,165
5192-19397-0055,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5192/19397/5192-19397-0055.wav,5192,19397,162
4014-186175-0023,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4014/186175/4014-186175-0023.wav,4014,186175,134
5192-19397-0022,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5192/19397/5192-19397-0022.wav,5192,19397,162
26-495-0019,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/26/495/26-495-0019.wav,26,495,1
1970-10594-0010,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1970/10594/1970-10594-0010.wav,1970,10594,85
7302-86815-0011,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7302/86815/7302-86815-0011.wav,7302,86815,213
3440-171009-0001,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3440/171009/3440-171009-0001.wav,3440,171009,120
405-130894-0046,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/405/130894/405-130894-0046.wav,405,130894,37
7517-100429-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7517/100429/7517-100429-0009.wav,7517,100429,220
6078-54007-0005,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6078/54007/6078-54007-0005.wav,6078,54007,183
6454-93938-0012,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6454/93938/6454-93938-0012.wav,6454,93938,193
587-41619-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/587/41619/587-41619-0009.wav,587,41619,46
2836-5354-0019,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2836/5354/2836-5354-0019.wav,2836,5354,104
6880-216547-0115,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6880/216547/6880-216547-0115.wav,6880,216547,201
7078-271888-0110,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7078/271888/7078-271888-0110.wav,7078,271888,205
1040-133433-0069,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1040/133433/1040-133433-0069.wav,1040,133433,57
1624-168623-0044,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1624/168623/1624-168623-0044.wav,1624,168623,76
1235-135883-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1235/135883/1235-135883-0025.wav,1235,135883,64
460-172357-0005,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/460/172357/460-172357-0005.wav,460,172357,44
254-12312-0012,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/254/12312/254-12312-0012.wav,254,12312,26
8088-284756-0078,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8088/284756/8088-284756-0078.wav,8088,284756,229
125-121124-0071,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/125/121124/125-121124-0071.wav,125,121124,13
32-21634-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/32/21634/32-21634-0002.wav,32,21634,3
8797-294123-0013,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8797/294123/8797-294123-0013.wav,8797,294123,248
6531-61334-0037,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6531/61334/6531-61334-0037.wav,6531,61334,196
196-122152-0022,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/196/122152/196-122152-0022.wav,196,122152,16
32-4137-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/32/4137/32-4137-0002.wav,32,4137,3
2817-142371-0075,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2817/142371/2817-142371-0075.wav,2817,142371,103
6209-34599-0007,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6209/34599/6209-34599-0007.wav,6209,34599,187
887-123290-0024,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/887/123290/887-123290-0024.wav,887,123290,53
7800-283492-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7800/283492/7800-283492-0009.wav,7800,283492,224
5561-41615-0007,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5561/41615/5561-41615-0007.wav,5561,41615,170
229-130880-0035,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/229/130880/229-130880-0035.wav,229,130880,22
7859-102518-0020,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7859/102518/7859-102518-0020.wav,7859,102518,225
328-129766-0039,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/328/129766/328-129766-0039.wav,328,129766,33
6476-57446-0065,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6476/57446/6476-57446-0065.wav,6476,57446,194
198-126831-0050,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/198/126831/198-126831-0050.wav,198,126831,17
5104-33406-0044,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5104/33406/5104-33406-0044.wav,5104,33406,160
3982-182255-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3982/182255/3982-182255-0002.wav,3982,182255,132
5192-19397-0056,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5192/19397/5192-19397-0056.wav,5192,19397,162
2196-170151-0034,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2196/170151/2196-170151-0034.wav,2196,170151,93
4640-19188-0027,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4640/19188/4640-19188-0027.wav,4640,19188,150
8465-246940-0013,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8465/246940/8465-246940-0013.wav,8465,246940,240
2136-5143-0023,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2136/5143/2136-5143-0023.wav,2136,5143,90
911-128684-0048,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/911/128684/911-128684-0048.wav,911,128684,55
4362-15663-0029,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4362/15663/4362-15663-0029.wav,4362,15663,145
2691-156745-0033,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2691/156745/2691-156745-0033.wav,2691,156745,101
3240-131231-0029,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3240/131231/3240-131231-0029.wav,3240,131231,115
3168-173564-0020,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3168/173564/3168-173564-0020.wav,3168,173564,112
7067-76048-0000,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7067/76048/7067-76048-0000.wav,7067,76048,204
6209-34601-0002,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6209/34601/6209-34601-0002.wav,6209,34601,187
1235-135883-0045,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1235/135883/1235-135883-0045.wav,1235,135883,64
2910-131096-0004,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2910/131096/2910-131096-0004.wav,2910,131096,107
8098-278278-0034,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8098/278278/8098-278278-0034.wav,8098,278278,231
200-124140-0010,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/200/124140/200-124140-0010.wav,200,124140,18
4640-19187-0035,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4640/19187/4640-19187-0035.wav,4640,19187,150
4788-94904-0019,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4788/94904/4788-94904-0019.wav,4788,94904,152
5022-29405-0035,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5022/29405/5022-29405-0035.wav,5022,29405,158
481-123719-0012,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/481/123719/481-123719-0012.wav,481,123719,45
5678-43303-0007,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5678/43303/5678-43303-0007.wav,5678,43303,172
8123-275216-0019,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8123/275216/8123-275216-0019.wav,8123,275216,233
481-123720-0037,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/481/123720/481-123720-0037.wav,481,123720,45
39-121914-0005,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/39/121914/39-121914-0005.wav,39,121914,4
8770-295463-0004,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8770/295463/8770-295463-0004.wav,8770,295463,247
125-121342-0045,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/125/121342/125-121342-0045.wav,125,121342,13
8770-295463-0022,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8770/295463/8770-295463-0022.wav,8770,295463,247
2196-170379-0007,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2196/170379/2196-170379-0007.wav,2196,170379,93
8063-274116-0010,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8063/274116/8063-274116-0010.wav,8063,274116,228
5561-41616-0009,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5561/41616/5561-41616-0009.wav,5561,41616,170
8238-283452-0015,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8238/283452/8238-283452-0015.wav,8238,283452,235
6848-252323-0028,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6848/252323/6848-252323-0028.wav,6848,252323,200
19-198-0029,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/19/198/19-198-0029.wav,19,198,0
4853-27671-0017,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4853/27671/4853-27671-0017.wav,4853,27671,155
8629-261139-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8629/261139/8629-261139-0025.wav,8629,261139,244
1034-121119-0046,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1034/121119/1034-121119-0046.wav,1034,121119,56
839-130898-0044,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/839/130898/839-130898-0044.wav,839,130898,52
5163-39921-0008,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5163/39921/5163-39921-0008.wav,5163,39921,161
4018-107338-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4018/107338/4018-107338-0025.wav,4018,107338,135
6209-34599-0031,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6209/34599/6209-34599-0031.wav,6209,34599,187
412-126975-0078,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/412/126975/412-126975-0078.wav,412,126975,38
1116-137572-0027,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1116/137572/1116-137572-0027.wav,1116,137572,62
6367-65536-0013,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6367/65536/6367-65536-0013.wav,6367,65536,189
6563-285357-0008,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6563/285357/6563-285357-0008.wav,6563,285357,197
4340-15220-0029,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4340/15220/4340-15220-0029.wav,4340,15220,144
5652-19215-0014,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5652/19215/5652-19215-0014.wav,5652,19215,171
2436-2477-0029,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2436/2477/2436-2477-0029.wav,2436,2477,98
4788-91208-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4788/91208/4788-91208-0025.wav,4788,91208,152
5390-30102-0023,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5390/30102/5390-30102-0023.wav,5390,30102,165
1898-145724-0007,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1898/145724/1898-145724-0007.wav,1898,145724,82
887-123290-0006,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/887/123290/887-123290-0006.wav,887,123290,53
1363-139304-0015,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1363/139304/1363-139304-0015.wav,1363,139304,69
8468-294887-0031,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8468/294887/8468-294887-0031.wav,8468,294887,241
2764-36617-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2764/36617/2764-36617-0025.wav,2764,36617,102
1743-142914-0001,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1743/142914/1743-142914-0001.wav,1743,142914,79
2817-142380-0030,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2817/142380/2817-142380-0030.wav,2817,142380,103
8630-305212-0020,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8630/305212/8630-305212-0020.wav,8630,305212,245
27-124992-0063,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/27/124992/27-124992-0063.wav,27,124992,2
5688-15787-0033,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5688/15787/5688-15787-0033.wav,5688,15787,173
6529-62556-0039,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6529/62556/6529-62556-0039.wav,6529,62556,195
1069-133699-0010,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1069/133699/1069-133699-0010.wav,1069,133699,58
1737-142397-0001,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/1737/142397/1737-142397-0001.wav,1737,142397,78
3259-158083-0038,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/3259/158083/3259-158083-0038.wav,3259,158083,117
7780-274562-0048,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7780/274562/7780-274562-0048.wav,7780,274562,222
328-129766-0059,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/328/129766/328-129766-0059.wav,328,129766,33
200-124139-0014,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/200/124139/200-124139-0014.wav,200,124139,18
2893-139310-0025,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2893/139310/2893-139310-0025.wav,2893,139310,106
5049-25947-0028,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5049/25947/5049-25947-0028.wav,5049,25947,159
6531-61334-0129,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6531/61334/6531-61334-0129.wav,6531,61334,196
